0x226C	0xFE69	# SMALL DOLLAR SIGN
0x226D	0xFE6A	# SMALL PERCENT SIGN
0x226E	0xFE6B	# SMALL COMMERCIAL AT
0x226F	0x33D5	# SQUARE MIL
0x2270	0x339C	# SQUARE MM
0x2271	0x339D	# SQUARE CM
0x2272	0x339E	# SQUARE KM
0x2273	0x33CE	# SQUARE KM CAPITAL
0x2274	0x33A1	# SQUARE M SQUARED
0x2275	0x338E	# SQUARE MG
0x2276	0x338F	# SQUARE KG
0x2277	0x33C4	# SQUARE CC
0x2278	0x00B0	# DEGREE SIGN
0x2279	0x5159	# <CJK>
0x227A	0x515B	# <CJK>
0x227B	0x515E	# <CJK>
0x227C	0x515D	# <CJK>
0x227D	0x5161	# <CJK>
0x227E	0x5163	# <CJK>
0x2321	0x55E7	# <CJK>
0x2322	0x74E9	# <CJK>
0x2323	0x7CCE	# <CJK>
0x2324	0x2581	# LOWER ONE EIGHTH BLOCK
0x2325	0x2582	# LOWER ONE QUARTER BLOCK
0x2326	0x2583	# LOWER THREE EIGHTHS BLOCK
0x2327	0x2584	# LOWER HALF BLOCK
0x2328	0x2585	# LOWER FIVE EIGHTHS BLOCK
0x2329	0x2586	# LOWER THREE QUARTERS BLOCK
0x232A	0x2587	# LOWER SEVEN EIGHTHS BLOCK
0x232B	0x2588	# FULL BLOCK
0x232C	0x258F	# LEFT ONE EIGHTH BLOCK
0x232D	0x258E	# LEFT ONE QUARTER BLOCK
0x232E	0x258D	# LEFT THREE EIGHTHS BLOCK
0x232F	0x258C	# LEFT HALF BLOCK
0x2330	0x258B	# LEFT FIVE EIGHTHS BLOCK
0x2331	0x258A	# LEFT THREE QUARTERS BLOCK
0x2332	0x2589	# LEFT SEVEN EIGHTHS BLOCK
0x2333	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0x2334	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0x2335	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0x2336	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0x2337	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0x2338	0x2594	# UPPER ONE EIGHTH BLOCK
0x2339	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0x233A	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0x233B	0x2595	# RIGHT ONE EIGHTH BLOCK
0x233C	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0x233D	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0x233E	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0x233F	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0x2340	0x256D	# BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
0x2341	0x256E	# BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0x2342	0x2570	# BOX DRAWINGS LIGHT ARC UP AND RIGHT
0x2343	0x256F	# BOX DRAWINGS LIGHT ARC UP AND LEFT
0x2344	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0x2345	0x255E	# BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
0x2346	0x256A	# BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0x2347	0x2561	# BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0x2348	0x25E2	# BLACK LOWER RIGHT TRIANGLE
0x2349	0x25E3	# BLACK LOWER LEFT TRIANGLE
0x234A	0x25E5	# BLACK UPPER RIGHT TRIANGLE
0x234B	0x25E4	# BLACK UPPER LEFT TRIANGLE
0x234C	0x2571	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0x234D	0x2572	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0x234E	0x2573	# BOX DRAWINGS LIGHT DIAGONAL CROSS
0x2421	0x0030	# DIGIT ZERO
0x2422	0x0031	# DIGIT ONE
0x2423	0x0032	# DIGIT TWO
0x2424	0x0033	# DIGIT THREE
0x2425	0x0034	# DIGIT FOUR
0x2426	0x0035	# DIGIT FIVE
0x2427	0x0036	# DIGIT SIX
0x2428	0x0037	# DIGIT SEVEN
0x2429	0x0038	# DIGIT EIGHT
0x242A	0x0039	# DIGIT NINE
0x242B	0x2160	# ROMAN NUMERAL ONE
0x242C	0x2161	# ROMAN NUMERAL TWO
0x242D	0x2162	# ROMAN NUMERAL THREE
0x242E	0x2163	# ROMAN NUMERAL FOUR
0x242F	0x2164	# ROMAN NUMERAL FIVE
0x2430	0x2165	# ROMAN NUMERAL SIX
0x2431	0x2166	# ROMAN NUMERAL SEVEN
0x2432	0x2167	# ROMAN NUMERAL EIGHT
0x2433	0x2168	# ROMAN NUMERAL NINE
0x2434	0x2169	# ROMAN NUMERAL TEN
0x2435	0x3021	# HANGZHOU NUMERAL ONE
0x2436	0x3022	# HANGZHOU NUMERAL TWO
0x2437	0x3023	# HANGZHOU NUMERAL THREE
0x2438	0x3024	# HANGZHOU NUMERAL FOUR
0x2439	0x3025	# HANGZHOU NUMERAL FIVE
0x243A	0x3026	# HANGZHOU NUMERAL SIX
0x243B	0x3027	# HANGZHOU NUMERAL SEVEN
0x243C	0x3028	# HANGZHOU NUMERAL EIGHT
0x243D	0x3029	# HANGZHOU NUMERAL NINE
0x2441	0x0041	# LATIN CAPITAL LETTER A
0x2442	0x0042	# LATIN CAPITAL LETTER B
0x2443	0x0043	# LATIN CAPITAL LETTER C
0x2444	0x0044	# LATIN CAPITAL LETTER D
0x2445	0x0045	# LATIN CAPITAL LETTER E
0x2446	0x0046	# LATIN CAPITAL LETTER F
0x2447	0x0047	# LATIN CAPITAL LETTER G
0x2448	0x0048	# LATIN CAPITAL LETTER H
0x2449	0x0049	# LATIN CAPITAL LETTER I
0x244A	0x004A	# LATIN CAPITAL LETTER J
0x244B	0x004B	# LATIN CAPITAL LETTER K
0x244C	0x004C	# LATIN CAPITAL LETTER L
0x244D	0x004D	# LATIN CAPITAL LETTER M
0x244E	0x004E	# LATIN CAPITAL LETTER N
0x244F	0x004F	# LATIN CAPITAL LETTER O
0x2450	0x0050	# LATIN CAPITAL LETTER P
0x2451	0x0051	# LATIN CAPITAL LETTER Q
0x2452	0x0052	# LATIN CAPITAL LETTER R
0x2453	0x0053	# LATIN CAPITAL LETTER S
0x2454	0x0054	# LATIN CAPITAL LETTER T
0x2455	0x0055	# LATIN CAPITAL LETTER U
0x2456	0x0056	# LATIN CAPITAL LETTER V
0x2457	0x0057	# LATIN CAPITAL LETTER W
0x2458	0x0058	# LATIN CAPITAL LETTER X
0x2459	0x0059	# LATIN CAPITAL LETTER Y
0x245A	0x005A	# LATIN CAPITAL LETTER Z
0x245B	0x0061	# LATIN SMALL LETTER A
0x245C	0x0062	# LATIN SMALL LETTER B
0x245D	0x0063	# LATIN SMALL LETTER C
0x245E	0x0064	# LATIN SMALL LETTER D
0x245F	0x0065	# LATIN SMALL LETTER E
0x2460	0x0066	# LATIN SMALL LETTER F
0x2461	0x0067	# LATIN SMALL LETTER G
0x2462	0x0068	# LATIN SMALL LETTER H
0x2463	0x0069	# LATIN SMALL LETTER I
0x2464	0x006A	# LATIN SMALL LETTER J
0x2465	0x006B	# LATIN SMALL LETTER K
0x2466	0x006C	# LATIN SMALL LETTER L
0x2467	0x006D	# LATIN SMALL LETTER M
0x2468	0x006E	# LATIN SMALL LETTER N
0x2469	0x006F	# LATIN SMALL LETTER O
0x246A	0x0070	# LATIN SMALL LETTER P
0x246B	0x0071	# LATIN SMALL LETTER Q
0x246C	0x0072	# LATIN SMALL LETTER R
0x246D	0x0073	# LATIN SMALL LETTER S
0x246E	0x0074	# LATIN SMALL LETTER T
0x246F	0x0075	# LATIN SMALL LETTER U
0x2470	0x0076	# LATIN SMALL LETTER V
0x2471	0x0077	# LATIN SMALL LETTER W
0x2472	0x0078	# LATIN SMALL LETTER X
0x2473	0x0079	# LATIN SMALL LETTER Y
0x2474	0x007A	# LATIN SMALL LETTER Z
0x2475	0x0391	# GREEK CAPITAL LETTER ALPHA
0x2476	0x0392	# GREEK CAPITAL LETTER BETA
0x2477	0x0393	# GREEK CAPITAL LETTER GAMMA
0x2478	0x0394	# GREEK CAPITAL LETTER DELTA
0x2479	0x0395	# GREEK CAPITAL LETTER EPSILON
0x247A	0x0396	# GREEK CAPITAL LETTER ZETA
0x247B	0x0397	# GREEK CAPITAL LETTER ETA
0x247C	0x0398	# GREEK CAPITAL LETTER THETA
0x247D	0x0399	# GREEK CAPITAL LETTER IOTA
0x247E	0x039A	# GREEK CAPITAL LETTER KAPPA
0x2521	0x039B	# GREEK CAPITAL LETTER LAMDA
0x2522	0x039C	# GREEK CAPITAL LETTER MU
0x2523	0x039D	# GREEK CAPITAL LETTER NU
0x2524	0x039E	# GREEK CAPITAL LETTER XI
0x2525	0x039F	# GREEK CAPITAL LETTER OMICRON
0x2526	0x03A0	# GREEK CAPITAL LETTER PI
0x2527	0x03A1	# GREEK CAPITAL LETTER RHO
0x2528	0x03A3	# GREEK CAPITAL LETTER SIGMA
0x2529	0x03A4	# GREEK CAPITAL LETTER TAU
0x252A	0x03A5	# GREEK CAPITAL LETTER UPSILON
0x252B	0x03A6	# GREEK CAPITAL LETTER PHI
0x252C	0x03A7	# GREEK CAPITAL LETTER CHI
0x252D	0x03A8	# GREEK CAPITAL LETTER PSI
0x252E	0x03A9	# GREEK CAPITAL LETTER OMEGA
0x252F	0x03B1	# GREEK SMALL LETTER ALPHA
0x2530	0x03B2	# GREEK SMALL LETTER BETA
0x2531	0x03B3	# GREEK SMALL LETTER GAMMA
0x2532	0x03B4	# GREEK SMALL LETTER DELTA
0x2533	0x03B5	# GREEK SMALL LETTER EPSILON
0x2534	0x03B6	# GREEK SMALL LETTER ZETA
0x2535	0x03B7	# GREEK SMALL LETTER ETA
0x2536	0x03B8	# GREEK SMALL LETTER THETA
0x2537	0x03B9	# GREEK SMALL LETTER IOTA
0x2538	0x03BA	# GREEK SMALL LETTER KAPPA
0x2539	0x03BB	# GREEK SMALL LETTER LAMDA
0x253A	0x03BC	# GREEK SMALL LETTER MU
0x253B	0x03BD	# GREEK SMALL LETTER NU
0x253C	0x03BE	# GREEK SMALL LETTER XI
0x253D	0x03BF	# GREEK SMALL LETTER OMICRON
0x253E	0x03C0	# GREEK SMALL LETTER PI
0x253F	0x03C1	# GREEK SMALL LETTER RHO
0x2540	0x03C3	# GREEK SMALL LETTER SIGMA
0x2541	0x03C4	# GREEK SMALL LETTER TAU
0x2542	0x03C5	# GREEK SMALL LETTER UPSILON
0x2543	0x03C6	# GREEK SMALL LETTER PHI
0x2544	0x03C7	# GREEK SMALL LETTER CHI
0x2545	0x03C8	# GREEK SMALL LETTER PSI
0x2546	0x03C9	# GREEK SMALL LETTER OMEGA
0x2547	0x3105	# BOPOMOFO LETTER B
0x2548	0x3106	# BOPOMOFO LETTER P
0x2549	0x3107	# BOPOMOFO LETTER M
0x254A	0x3108	# BOPOMOFO LETTER F
0x254B	0x3109	# BOPOMOFO LETTER D
0x254C	0x310A	# BOPOMOFO LETTER T
0x254D	0x310B	# BOPOMOFO LETTER N
0x254E	0x310C	# BOPOMOFO LETTER L
0x254F	0x310D	# BOPOMOFO LETTER G
0x2550	0x310E	# BOPOMOFO LETTER K
0x2551	0x310F	# BOPOMOFO LETTER H
0x2552	0x3110	# BOPOMOFO LETTER J
0x2553	0x3111	# BOPOMOFO LETTER Q
0x2554	0x3112	# BOPOMOFO LETTER X
0x2555	0x3113	# BOPOMOFO LETTER ZH
0x2556	0x3114	# BOPOMOFO LETTER CH
0x2557	0x3115	# BOPOMOFO LETTER SH
0x2558	0x3116	# BOPOMOFO LETTER R
0x2559	0x3117	# BOPOMOFO LETTER Z
0x255A	0x3118	# BOPOMOFO LETTER C
0x255B	0x3119	# BOPOMOFO LETTER S
0x255C	0x311A	# BOPOMOFO LETTER A
0x255D	0x311B	# BOPOMOFO LETTER O
0x255E	0x311C	# BOPOMOFO LETTER E
0x255F	0x311D	# BOPOMOFO LETTER EH
0x2560	0x311E	# BOPOMOFO LETTER AI
0x2561	0x311F	# BOPOMOFO LETTER EI
0x2562	0x3120	# BOPOMOFO LETTER AU
0x2563	0x3121	# BOPOMOFO LETTER OU
0x2564	0x3122	# BOPOMOFO LETTER AN
0x2565	0x3123	# BOPOMOFO LETTER EN
0x2566	0x3124	# BOPOMOFO LETTER ANG
0x2567	0x3125	# BOPOMOFO LETTER ENG
0x2568	0x3126	# BOPOMOFO LETTER ER
0x2569	0x3127	# BOPOMOFO LETTER I
0x256A	0x3128	# BOPOMOFO LETTER U
0x256B	0x3129	# BOPOMOFO LETTER IU
0x256C	0x02D9	# DOT ABOVE (Mandarin Chinese light tone)
0x256D	0x2003	# EM SPACE
0x256E	0x02CA	# MODIFIER LETTER ACUTE ACCENT (Mandarin Chinese second tone)
0x256F	0x02C7	# CARON (Mandarin Chinese third tone)
0x2570	0x02CB	# MODIFIER LETTER GRAVE ACCENT (Mandarin Chinese fourth tone)
0x2621	0x2460	# CIRCLED DIGIT ONE
0x2622	0x2461	# CIRCLED DIGIT TWO
0x2623	0x2462	# CIRCLED DIGIT THREE
0x2624	0x2464	# CIRCLED DIGIT FOUR
0x2625	0x2465	# CIRCLED DIGIT FIVE
0x2626	0x2466	# CIRCLED DIGIT SIX
0x2627	0x2467	# CIRCLED DIGIT SEVEN
0x2628	0x2468	# CIRCLED DIGIT EIGHT
0x2629	0x2469	# CIRCLED DIGIT NINE
0x262A	0x246A	# CIRCLED NUMBER TEN
0x262B	0x2474	# PARENTHESIZED DIGIT ONE
0x262C	0x2475	# PARENTHESIZED DIGIT TWO
0x262D	0x2476	# PARENTHESIZED DIGIT THREE
0x262E	0x2477	# PARENTHESIZED DIGIT FOUR
0x262F	0x2478	# PARENTHESIZED DIGIT FIVE
0x2630	0x2479	# PARENTHESIZED DIGIT SIX
